 Time  bebop1_x  bebop1_y  bebop1_vx  bebop1_vy  bebop1_yaw  bebop2_x  bebop2_y  bebop2_vx  bebop2_vy  bebop2_yaw  bebop3_x  bebop3_y  bebop3_vx  bebop3_vy  bebop3_yaw  bebop4_x  bebop4_y  bebop4_vx  bebop4_vy  bebop4_yaw  target_x  target_y  target_vx  target_vy  target_yaw 
3.14998  1.45642  -1.68402  0.1624  -0.0435567  2.29573  -0.134281  -1.08224  -0.0109009  -0.0957278  0.660776  0.320749  0.273222  -0.1827  0.0640515  -1.03521  1.67886  -0.210458  0.148867  0.187729  -2.6264  0.723366  -0.52262  -0.0047693  0.0495038  1.66684  
3.20006  1.46795  -1.68207  0.16034  -0.0365688  2.29935  -0.132638  -1.09177  -0.00675319  -0.0993306  0.661294  0.306692  0.275792  -0.183161  0.060614  -1.03279  1.68503  -0.195329  0.142252  0.189386  -2.62884  0.722193  -0.519354  -0.00490059  0.0498683  1.66875  
3.24997  1.47977  -1.67976  0.183544  -0.0261968  2.30678  -0.130233  -1.10206  0.00211413  -0.122842  0.668333  0.292691  0.277782  -0.209945  0.0605846  -1.02555  1.69044  -0.180061  0.145593  0.219691  -2.63016  0.72247  -0.516685  -0.00502137  0.0503655  1.67017  
3.30002  1.49167  -1.67705  0.171885  -0.0223976  2.30621  -0.127255  -1.11288  0.00410167  -0.116991  0.672224  0.278091  0.28045  -0.198625  0.0587962  -1.02475  1.69523  -0.164051  0.133446  0.20805  -2.62955  0.721139  -0.513257  -0.00514713  0.0507964  1.67178  
3.35001  1.50577  -1.6732  0.19209  -0.0103178  2.30865  -0.122819  -1.12652  0.0154741  -0.141613  0.674524  0.260865  0.28288  -0.223854  0.0585359  -1.01923  1.69997  -0.144974  0.133022  0.237339  -2.62667  0.72067  -0.510186  -0.00525896  0.0512636  1.67303  
3.39997  1.51592  -1.66959  0.191917  -0.00117489  2.31137  -0.119211  -1.1366  0.02089  -0.146184  0.680366  0.248448  0.284461  -0.224731  0.0555512  -1.01508  1.7029  -0.131196  0.125397  0.239276  -2.62503  0.720935  -0.507637  -0.0053579  0.0516194  1.67422  
3.45002  1.52812  -1.6648  0.197208  0.00731681  2.30666  -0.11441  -1.14896  0.0279129  -0.155464  0.684895  0.233533  0.286005  -0.231694  0.0529341  -1.009  1.70573  -0.114352  0.118929  0.248919  -2.62689  0.720343  -0.504678  -0.0054756  0.0519766  1.67576  
3.50001  1.53997  -1.65925  0.197137  0.0164834  2.3109  -0.109168  -1.16177  0.034281  -0.162371  0.69434  0.218158  0.287289  -0.236175  0.0502068  -1.00333  1.70808  -0.096787  0.111413  0.255912  -2.62635  0.719599  -0.501602  -0.00558332  0.0523754  1.677  
3.55001  1.55202  -1.65298  0.203999  0.0275949  2.31389  -0.103178  -1.17475  0.04372  -0.173167  0.700026  0.202715  0.288039  -0.245208  0.0464519  -0.997549  1.70968  -0.0790045  0.10415  0.267441  -2.62417  0.718988  -0.498499  -0.0057035  0.0528026  1.67839  
3.59998  1.56295  -1.6463  0.202208  0.0370453  2.31249  -0.0968219  -1.1875  0.0510574  -0.178994  0.713487  0.187552  0.288664  -0.248824  0.0435519  -0.990977  1.71053  -0.0609979  0.0954103  0.275181  -2.61832  0.718424  -0.495406  -0.00583517  0.05322  1.68  
3.64997  1.57446  -1.63893  0.205889  0.0470042  2.31434  -0.0901454  -1.20016  0.0579149  -0.184281  0.720258  0.172264  0.289016  -0.253159  0.0400295  -0.984235  1.71067  -0.042875  0.0865333  0.281392  -2.61658  0.717752  -0.4923  -0.00596474  0.0536016  1.68162  
3.70001  1.5854  -1.63075  0.198513  0.0530236  2.32488  -0.0829914  -1.21277  0.0614231  -0.182122  0.725563  0.156916  0.289278  -0.248222  0.0369273  -0.978906  1.70985  -0.0244996  0.0767488  0.277707  -2.61266  0.716381  -0.488814  -0.00610822  0.0539447  1.68355  
3.75003  1.59596  -1.62226  0.214796  0.0753142  2.32096  -0.0754199  -1.22501  0.080536  -0.204651  0.734173  0.141323  0.288759  -0.276732  0.0308085  -0.972199  1.7084  -0.00607536  0.0653381  0.312151  -2.61105  0.716693  -0.485992  -0.00624808  0.0544271  1.68509  
3.80002  1.60648  -1.61257  0.206104  0.0810086  2.32808  -0.0676488  -1.2369  0.0810716  -0.19728  0.739699  0.125792  0.287673  -0.267113  0.0259465  -0.96292  1.70614  0.0124242  0.0558263  0.302835  -2.60668  0.716013  -0.482733  -0.0063912  0.0548857  1.68672  
3.84997  1.61656  -1.6026  0.205523  0.0912389  2.32882  -0.0594771  -1.24809  0.0890147  -0.198627  0.751505  0.110614  0.286631  -0.269955  0.0225642  -0.953549  1.70307  0.0307703  0.0445754  0.308498  -2.60241  0.715389  -0.479595  -0.00651939  0.055249  1.68825  
3.89998  1.62679  -1.59215  0.205755  0.101777  2.33224  -0.0512247  -1.25924  0.0952938  -0.200944  0.762156  0.095281  0.285113  -0.273494  0.0171978  -0.945167  1.69931  0.0494318  0.0335179  0.314607  -2.59676  0.71478  -0.476389  -0.00666792  0.0556304  1.69009  
